id_do_veiculo,tipo_de_veiculo,modelo_do_veiculo,categoria_das_pecas,nome_das_pecas,marca_das_pecas,modelo_do_veiculo_compativel,ano_do_veiculo_compativel,preco_da_peca,estoque,fornecedor_da_peca,codigo_de_barras,peso_da_peca_(kg),dimensao_da_peca_(cm),material_principal_da_peca,garantia_(meses),descricao_da_peca,numero_oem,data_de_fabricacao_da_peca,origem_da_peca
286,caminhao,mercedes-benz actros,ar-condicionado,compressor de ar,trw,mercedes-benz actros,2021,5973.77,0,Fernandes,9418462289047,25.54,30x60x28,alumínio,18,"compressor de ar da marca trw, compatível com mercedes-benz actros, fabricado com plástico.",OE14460738,2025-03-05,itália
287,carro,nissan versa,ar-condicionado,filtro de cabine,monroe,nissan versa,2018,5627.4,88,Rezende,7287616485015,37.1,53x68x20,cerâmica,12,"filtro de cabine da marca monroe, compatível com nissan versa, fabricado com cerâmica.",OE36688164,2024-12-16,japão
288,caminhao,volvo fh 540,motor,bomba de oleo,bosch,volvo fh 540,2015,2554.79,24,da Paz,3182697979238,21.78,62x22x32,alumínio,24,"bomba de oleo da marca bosch, compatível com volvo fh 540, fabricado com aço.",OE82241726,2023-07-26,itália
289,carro,chevrolet onix,suspensao,mola helicoidal,valeo,chevrolet onix,2010,969.67,80,Teixeira,1498182669341,11.86,64x15x26,vidro,12,"mola helicoidal da marca valeo, compatível com chevrolet onix, fabricado com vidro.",OE55032444,2023-04-05,itália
290,carro,honda civic,suspensao,bucha da bandeja,monroe,honda civic,2017,1101.13,33,Rezende Ferreira - ME,2292033020584,68.12,18x24x42,ferro fundido,6,"bucha da bandeja da marca monroe, compatível com honda civic, fabricado com ferro fundido.",OE66324685,2022-07-17,brasil
292,carro,toyota corolla,freios,cilindro mestre,cofap,toyota corolla,2011,5217.45,33,Jesus,4011453982719,4.62,52x20x41,cerâmica,6,"cilindro mestre da marca cofap, compatível com toyota corolla, fabricado com cerâmica.",OE27739834,2023-07-01,méxico
293,carro,toyota corolla,eletrica,relé,mahle,toyota corolla,2024,733.32,98,Melo Freitas - ME,6473316674526,30.34,74x67x16,plástico,24,"relé da marca mahle, compatível com toyota corolla, fabricado com alumínio.",OE85692425,2023-01-31,alemanha
294,carro,honda civic,ar-condicionado,condensador,magneti marelli,honda civic,2017,1843.83,8,Ramos Moura S.A.,7228397359812,74.48,44x37x40,ferro fundido,36,"condensador da marca magneti marelli, compatível com honda civic, fabricado com ferro fundido.",OE43130190,2023-02-14,brasil
295,carro,renault sandero,eletrica,bateria 60ah,monroe,renault sandero,2024,3019.6,25,Moura,512706902583,39.17,59x54x29,aço,24,"bateria 60ah da marca monroe, compatível com renault sandero, fabricado com aço.",OE92444526,2023-01-24,eua
296,carro,chevrolet onix,iluminacao,lampada de farol,bosch,chevrolet onix,2016,3234.03,92,Duarte,512472061897,17.74,10x43x38,vidro,36,"lampada de farol da marca bosch, compatível com chevrolet onix, fabricado com borracha.",OE24333704,2024-10-13,brasil
299,carro,chevrolet onix,eletrica,relé,cofap,chevrolet onix,2019,4679.94,30,Rezende Rocha - ME,5158379170734,54.06,72x52x7,plástico,6,"relé da marca cofap, compatível com chevrolet onix, fabricado com vidro.",OE66039034,2022-06-10,brasil
300,carro,nissan versa,freios,tambor de freio,hella,nissan versa,2022,5576.79,88,Costa,9300820175393,42.29,39x79x42,vidro,12,"tambor de freio da marca hella, compatível com nissan versa, fabricado com vidro.",OE94105567,2023-11-13,japão
